iter	Logloss
0	0.6924200371
1	0.6918001673
2	0.6910999665
3	0.6904359763
4	0.6898268975
5	0.6891596737
6	0.6887024397
7	0.6883830543
8	0.6877243084
9	0.68706138
10	0.6864447749
11	0.6857012905
12	0.6850815393
13	0.6847035894
14	0.6841020225
15	0.6834875085
16	0.68296712
17	0.6824509622
18	0.6817549812
19	0.6812644269
20	0.6807731606
21	0.6801122549
22	0.6796353133
23	0.6791915839
24	0.678715265
25	0.6781060368
26	0.6776777084
27	0.6770086021
28	0.6766407849
29	0.6761698284
30	0.6755325503
31	0.6751030745
32	0.6746345986
33	0.6741477569
34	0.6737333304
35	0.6732047725
36	0.6728285129
37	0.672297808
38	0.671845244
39	0.6713639868
40	0.6709177493
41	0.6705058319
42	0.6699916109
43	0.6696628593
44	0.6693002891
45	0.6687379081
46	0.668292103
47	0.6677958928
48	0.6673755239
49	0.6670133465
50	0.6666301964
51	0.6663366221
52	0.6660312145
53	0.6657192453
54	0.6653748717
55	0.6650244944
56	0.6646302749
57	0.6643375938
58	0.6639553507
59	0.6636911927
60	0.6632903415
61	0.6627899597
62	0.662517898
63	0.6621770904
64	0.6618037976
65	0.6614769933
66	0.6611874799
67	0.660890689
68	0.6606166488
69	0.6602362475
70	0.6598654771
71	0.659474182
72	0.6591096944
73	0.6589478254
74	0.6585810627
75	0.6582460778
76	0.6577402161
77	0.6573475524
78	0.657178137
79	0.657064159
80	0.6567404248
81	0.6564411437
82	0.6561430841
83	0.6557893575
84	0.6554590445
85	0.6551818488
86	0.654894054
87	0.6545418969
88	0.6543223149
89	0.6540673281
90	0.6537934603
91	0.6535359753
92	0.6532601429
93	0.6528872182
94	0.652619658
95	0.6524124218
96	0.6522030326
97	0.6519604203
98	0.6518557034
99	0.6516357534
100	0.6515262403
101	0.6512671172
102	0.6510526003
103	0.650726133
104	0.6504423481
105	0.6502149069
106	0.6499688128
107	0.649540105
108	0.6493264719
109	0.6491276175
110	0.6488713583
111	0.6486701209
112	0.6484608648
113	0.6483215529
114	0.6480796232
115	0.6478524515
116	0.6476226921
117	0.6474015406
118	0.6471197151
119	0.646862542
120	0.6464992039
121	0.6462736876
122	0.646047834
123	0.6459514473
124	0.6457548981
125	0.6454717313
126	0.6452925176
127	0.645119442
128	0.6448687255
129	0.6446943893
130	0.6446573587
131	0.6443021367
132	0.6440454513
133	0.6437346854
134	0.6435646863
135	0.6433264289
136	0.6431624497
137	0.6430093416
138	0.642779001
139	0.6425097683
140	0.6423609078
141	0.6421728743
142	0.6419985312
143	0.6417809121
144	0.6416024575
145	0.6413900723
146	0.6410191671
147	0.6407847953
148	0.6405200686
149	0.6404962978
150	0.6401678229
151	0.6399347185
152	0.6397817319
153	0.6394748503
154	0.6393319691
155	0.6390114865
156	0.6388551529
157	0.638787314
158	0.6385700881
159	0.6383990458
160	0.6382308365
161	0.6380332545
162	0.6378573016
163	0.6377277978
164	0.6376741393
165	0.6374695519
166	0.6373627288
167	0.6371723617
168	0.6370260652
169	0.6368741681
170	0.6367116989
171	0.6366802027
172	0.6364987067
173	0.6362707447
174	0.6359787958
175	0.6357691681
176	0.6355796866
177	0.6353987507
178	0.6353614267
179	0.6352068763
180	0.6349526596
181	0.6346922996
182	0.6344553206
183	0.6342517225
184	0.6340905841
185	0.6340053383
186	0.6338724556
187	0.6337886726
188	0.6336054844
189	0.6334437345
190	0.6332841885
191	0.6330457397
192	0.6329320795
193	0.6326725369
194	0.6325101215
195	0.6323828168
196	0.6321751506
197	0.6321053635
198	0.6320350861
199	0.6318781861
200	0.6316843338
201	0.6315754223
202	0.6313999066
203	0.6311935487
204	0.6309573538
205	0.6308379554
206	0.6307496782
207	0.6305933031
208	0.6304243898
209	0.6302857049
210	0.6301486899
211	0.629980741
212	0.629822879
213	0.629754628
214	0.629610132
215	0.6295307668
216	0.6293722062
217	0.6292858989
218	0.6291928069
219	0.6290629317
220	0.6288958564
221	0.628722077
222	0.6282667888
223	0.6282514871
224	0.6281892809
225	0.6281500885
226	0.627945165
227	0.6277407949
228	0.6274954093
229	0.6273901843
230	0.6272014118
231	0.6270813145
232	0.6269548764
233	0.6267869721
234	0.6266567667
235	0.6264902286
236	0.6262761344
237	0.6260030367
238	0.6258271724
239	0.6256189327
240	0.6255141721
241	0.6252676775
242	0.6251561317
243	0.6250376156
244	0.6248324561
245	0.6246465152
246	0.6245221759
247	0.6243485136
248	0.6242412717
249	0.6241459427
250	0.6238360835
251	0.6235822845
252	0.6234969023
253	0.623304723
254	0.6230942537
255	0.6229107686
256	0.6226794321
257	0.6225843886
258	0.6224738931
259	0.622434815
260	0.6223652785
261	0.6222272636
262	0.6221377212
263	0.6219079702
264	0.6218423845
265	0.6216640882
266	0.6215724162
267	0.6214498553
268	0.6213954194
269	0.6212542114
270	0.621063559
271	0.6209463017
272	0.6208665909
273	0.6206604858
274	0.6205746595
275	0.620420987
276	0.620362813
277	0.6201853351
278	0.6200780525
279	0.619955863
280	0.6198240196
281	0.6196820104
282	0.6196187132
283	0.6195068638
284	0.6193807631
285	0.6192328933
286	0.6191034221
287	0.6190300446
288	0.6189738536
289	0.6189152847
290	0.6186136178
291	0.6185220885
292	0.6184290166
293	0.6183912278
294	0.6182799252
295	0.6182131239
296	0.6181101754
297	0.6180269263
298	0.6179700371
299	0.6178455396
