시설명,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,요금,이용요금단위,오피스 타입,수용인원,운영시간(월),운영시간(화),운영시간(수),운영시간(목),운영시간(금),운영시간(토),운영시간(일),에어컨,카페_레스토랑,복사_인쇄기,택배발송서비스,도어락,콘센트,팩스,24시 운영,연중무휴,난방기,주차,공용라운지,공용주방,정수기,테라스_루프탑,간단한 다과_음료,개인락커,티비_프로젝터,화이트보드,인터넷_와이파이,샤워시설,창고,최종작성일,건물면적,연면적
[5인실]선릉 공유오피스 더공간A,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50436547,127.0527282,6193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,1584000,월,독립오피스,5명 ~ 5명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,2022-11-16,196.56 ㎡,"1,983.78 ㎡"
[5인실]선릉 공유오피스 더공간B,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50438925,127.0527431,6193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,1386000,월,독립오피스,1명 ~ 5명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,2022-11-16,196.56 ㎡,"1,983.78 ㎡"
[6인실]선릉 공유오피스 더공간,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50436547,127.0527282,6193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,1848000,월,독립오피스,1명 ~ 6명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,2022-11-16,196.56 ㎡,"1,983.78 ㎡"
[7인실]선릉 공유오피스 더공간A,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50436547,127.0527282,6193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,1936000,월,독립오피스,1명 ~ 7명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,2022-11-16,196.56 ㎡,"1,983.78 ㎡"
[7인실]선릉 공유오피스 더공간B,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50438925,127.0527431,6193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,1694000,월,독립오피스,1명 ~ 7명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,2022-11-16,196.56 ㎡,"1,983.78 ㎡"
[맨써]주소지서비스 비상주오피스,제주특별자치도,제주시,연동,,304-26 번지,신대로,145 번,33.48430056,126.4967123,63134,제주특별자치도 제주시 신대로 145,제주특별자치도 제주시 연동 304-26,550000,월,독립오피스,1명 ~ 6명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,2022-11-16,188.92 ㎡,864.52 ㎡
[미사] 공유오피스 소호사무실,경기도,하남시,풍산동,,512 번지,미사강변대로,70 번,37.55615552,127.1874375,12919,경기도 하남시 미사강변대로 70,경기도 하남시 풍산동 512,165000,월,독립오피스,1명 ~ 4명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,2022-11-16,597.42 ㎡,"5,561.61 ㎡"
[비즈넥스트원]의정부 소호사무실,경기도,의정부시,의정부동,,491-7 번지,둔야로17번길,14 번,37.73765612,127.0389972,11649,경기도 의정부시 둔야로17번길 14,경기도 의정부시 의정부동 491-7,215000,월,독립오피스,1명 ~ 3명,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,2022-11-16,411.23 ㎡,"3,979.22 ㎡"
[삼성동] 모두의캠퍼스 2-6인실,서울특별시,강남구,삼성동,,120-17 번지,삼성로103길,6 번,37.51051162,127.0540307,6155,서울특별시 강남구 삼성로103길 6,서울특별시 강남구 삼성동 120-17,120000,일,독립오피스,1명 ~ 6명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,N,2022-11-16,169.32 ㎡,707.13 ㎡
[성수]교원 창업공간 1인실 창가,서울특별시,성동구,성수2가3동,,279-6 번지,아차산로13길,30 번,37.54548392,127.0619216,4799,서울특별시 성동구 아차산로13길 30,서울특별시 성동구 성수동2가 279-6,462000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,2022-11-16,"2,420.06 ㎡","26,316.45 ㎡"
[신규오픈] 채움 오피스-최대6인,서울특별시,마포구,노고산동,,1-3 번지,신촌로,150 번,37.55626353,126.9421217,4104,서울특별시 마포구 신촌로 150,서울특별시 마포구 노고산동 1-3,120000,일,독립오피스,1명 ~ 6명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,Y,Y,Y,N,N,2022-11-16,"1,135.79 ㎡","20,588.95 ㎡"
[양재] 여성전용 오피스-2인실,서울특별시,서초구,양재동,,391-18 번지,동산로,68 번,37.47207627,127.0464132,6784,서울특별시 서초구 동산로 68,서울특별시 서초구 양재동 391-18,80000,일,독립오피스,2명 ~ 2명,09:00 ~ 17:00,09:00 ~ 17:00,09:00 ~ 17:00,09:00 ~ 17:00,09:00 ~ 17:00,휴무일,휴무일,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,2022-11-16,167.4 ㎡,"1,143.36 ㎡"
[엠플스페이스]명동소호사무실,서울특별시,중구,명동,,32-13 번지,퇴계로18길,33 번,37.55932567,126.9851558,4631,서울특별시 중구 퇴계로18길 33,서울특별시 중구 남산동2가 32-13,33000,일,독립오피스,1명 ~ 4명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,2022-11-16,173.29 ㎡,982.16 ㎡
[연희회관] 공유오피스,서울특별시,서대문구,연희동,,80-1 번지,연희로,160 번,37.57143824,126.9349463,3723,서울특별시 서대문구 연희로 160,서울특별시 서대문구 연희동 80-1,880000,월,독립오피스,1명 ~ 6명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,2022-11-16,363.25 ㎡,"2,148.79 ㎡"
