시설명,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,요금,이용요금단위,오피스 타입,수용인원,운영시간(월),운영시간(화),운영시간(수),운영시간(목),운영시간(금),운영시간(토),운영시간(일),에어컨,카페_레스토랑,복사_인쇄기,택배발송서비스,도어락,콘센트,팩스,24시 운영,연중무휴,난방기,주차,공용라운지,공용주방,정수기,테라스_루프탑,간단한 다과_음료,개인락커,티비_프로젝터,화이트보드,인터넷_와이파이,샤워시설,창고,최종작성일,건물면적,연면적
대전 필로스페이스 독립 사무실,대전광역시,유성구,장대동,,331-8 번지,유성대로,773 번,36.36134283,127.3356586,34165,대전광역시 유성구 유성대로 773,대전광역시 유성구 장대동 331-8,350000,월,독립오피스,2명 ~ 8명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,휴무일,휴무일,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,2022-11-16,716.55 ㎡,"4,984.7 ㎡"
더제이오피스 - 1인실,서울특별시,종로구,숭인동,,318-1 번지,지봉로4길,21 번,37.57129502,127.0170011,3114,서울특별시 종로구 지봉로4길 21,서울특별시 종로구 숭인동 318-1,275000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,378.97 ㎡,"3,505.91 ㎡"
더제이오피스2인실,서울특별시,종로구,숭인동,,318-1 번지,지봉로4길,21 번,37.57129502,127.0170011,3114,서울특별시 종로구 지봉로4길 21,서울특별시 종로구 숭인동 318-1,500000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,378.97 ㎡,"3,505.91 ㎡"
더클락 창업센터 1인실,서울특별시,금천구,가산동,,543-1 번지,서부샛길,606 번,37.4799535,126.8770082,8504,서울특별시 금천구 서부샛길 606,서울특별시 금천구 가산동 543-1,396000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,2022-11-16,"7,203.58 ㎡","161,698.62 ㎡"
더클락 창업센터 가산점 2인실,서울특별시,금천구,가산동,,543-1 번지,서부샛길,606 번,37.4799535,126.8770082,8504,서울특별시 금천구 서부샛길 606,서울특별시 금천구 가산동 543-1,495000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,2022-11-16,"7,203.58 ㎡","161,698.62 ㎡"
독립 1인실,경기도,군포시,금정동,,874-2 번지,번영로,508 번,37.35792319,126.9338924,15862,경기도 군포시 번영로 508,경기도 군포시 금정동 874-2,297000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y,2022-11-16,424.72 ㎡,"5,997.31 ㎡"
독립 2인실,경기도,군포시,금정동,,874-2 번지,번영로,508 번,37.35792319,126.9338924,15862,경기도 군포시 번영로 508,경기도 군포시 금정동 874-2,396000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y,2022-11-16,424.72 ㎡,"5,997.31 ㎡"
독립 3인실,경기도,군포시,금정동,,874-2 번지,번영로,508 번,37.35792319,126.9338924,15862,경기도 군포시 번영로 508,경기도 군포시 금정동 874-2,528000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y,2022-11-16,424.72 ㎡,"5,997.31 ㎡"
독립오피스3인실 구로소호114,서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,8375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,550000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,2022-11-16,"2,463.37 ㎡","32,987.11 ㎡"
독산역2번출구(주)인터클러스터,서울특별시,금천구,가산동,,660 번지,가산디지털1로,30 번,37.46880404,126.8874958,8591,서울특별시 금천구 가산디지털1로 30,서울특별시 금천구 가산동 660,77000,월,독립오피스,2명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,"2,324.24 ㎡","48,606.1 ㎡"
"두드림 독립오피스, 오픈데스크",서울특별시,강서구,마곡동,,794-1 번지,강서로,385 번,37.56009264,126.8383041,7803,서울특별시 강서구 강서로 385,서울특별시 강서구 마곡동 794-1,15000,일,독립오피스,1명 ~ 10명,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,휴무일,휴무일,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,2022-11-16,- ㎡,- ㎡
"두드림공유오피스 1인사무실, 비상",서울특별시,강서구,마곡동,,794-1 번지,강서로,385 번,37.56009264,126.8383041,7803,서울특별시 강서구 강서로 385,서울특별시 강서구 마곡동 794-1,330000,월,독립오피스,1명 ~ 10명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,2022-11-16,- ㎡,- ㎡
"드림빅 공유오피스, 비상주오피스",서울특별시,서초구,우면동,,67 번지,바우뫼로,31 번,37.47102789,127.0259819,6762,서울특별시 서초구 바우뫼로 31,서울특별시 서초구 우면동 67,495000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,2022-11-16,"3,081.77 ㎡","20,668.24 ㎡"
드림큐브 원데이오피스 1인실,서울특별시,마포구,상암동,,1601 번지,월드컵북로,402 번,37.58010775,126.8889823,3925,서울특별시 마포구 월드컵북로 402,서울특별시 마포구 상암동 1601,33000,일,독립오피스,1명 ~ 1명,09:00 ~ 24:00,09:00 ~ 24:00,09:00 ~ 24:00,09:00 ~ 24:00,09:00 ~ 24:00,휴무일,휴무일,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,2022-11-16,"4,680.54 ㎡","85,603.37 ㎡"
드림하이비즈센터,서울특별시,마포구,합정동,,362-8 번지,독막로6길,9 번,37.54757554,126.9176507,4072,서울특별시 마포구 독막로6길 9,서울특별시 마포구 합정동 362-8,33000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,114.23 ㎡,659.57 ㎡
디오피스 스마트 1인실,경기도,고양시 일산동구,장항동,,863 번지,정발산로,19 번,37.65672914,126.7706231,10402,경기도 고양시 일산동구 정발산로 19,경기도 고양시 일산동구 장항동 863,220000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,Y,Y,N,N,2022-11-16,- ㎡,- ㎡
디오피스 프라임 2인실,경기도,고양시 일산동구,장항동,,863 번지,정발산로,19 번,37.65672914,126.7706231,10402,경기도 고양시 일산동구 정발산로 19,경기도 고양시 일산동구 장항동 863,385000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,Y,Y,N,N,2022-11-16,- ㎡,- ㎡
디오피스 프라임 3인실,경기도,고양시 일산동구,장항동,,863 번지,정발산로,19 번,37.65672914,126.7706231,10402,경기도 고양시 일산동구 정발산로 19,경기도 고양시 일산동구 장항동 863,440000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,Y,Y,N,N,2022-11-16,- ㎡,- ㎡
디오피스 프라임 4인실,경기도,고양시 일산동구,장항동,,863 번지,정발산로,19 번,37.65672914,126.7706231,10402,경기도 고양시 일산동구 정발산로 19,경기도 고양시 일산동구 장항동 863,495000,월,독립오피스,1명 ~ 4명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,Y,Y,N,N,2022-11-16,- ㎡,- ㎡
디자인픽스 오피스쉐어(2인실),서울특별시,성동구,마장동,,791-9 번지,마장로,296 번,37.56570224,127.0427574,4758,서울특별시 성동구 마장로 296,서울특별시 성동구 마장동 791-9,550000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,N,2022-11-16,- ㎡,- ㎡
라브레 쇼핑몰 사무실 및 작업실,서울특별시,노원구,공릉동,,494-15 번지,동일로,1053 번,37.62402452,127.073158,1857,서울특별시 노원구 동일로 1053,서울특별시 노원구 공릉동 494-15,380000,월,독립오피스,1명 ~ 2명,18:30 ~ 24:00,18:30 ~ 24:00,18:30 ~ 24:00,18:30 ~ 24:00,18:30 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,Y,2022-11-16,414.27 ㎡,"2,540.07 ㎡"
라움교육컨설팅,경기도,고양시 덕양구,화정동,,979 번지,화신로260번길,37 번,37.63248628,126.8325311,10500,경기도 고양시 덕양구 화신로260번길 37,경기도 고양시 덕양구 화정동 979,20000,일,독립오피스,1명 ~ 6명,10:00 ~ 21:30,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,휴무일,휴무일,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,- ㎡,- ㎡
런치스페이스 마포공덕 독립오피스,서울특별시,마포구,공덕동,,249-16 번지,마포대로10길,12 번,37.54704769,126.9542919,4211,서울특별시 마포구 마포대로10길 12,서울특별시 마포구 공덕동 249-16,400000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,휴무일,휴무일,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,2022-11-16,417.33 ㎡,"1,988.02 ㎡"
로컬하이브 성수비상주사무실,서울특별시,성동구,성수1가1동,,72-87 번지,뚝섬로3길,11-5 번,37.54117923,127.0492511,4780,서울특별시 성동구 뚝섬로3길 11-5,서울특별시 성동구 성수동1가 72-87,33000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,Y,N,N,2022-11-16,113.05 ㎡,729.3 ㎡
로하스비즈니스센터,서울특별시,은평구,녹번동,,183 번지,서오릉로2길,10 번,37.60220035,126.9276026,3384,서울특별시 은평구 서오릉로2길 10,서울특별시 은평구 녹번동 183,275000,월,독립오피스,1명 ~ 5명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,148.77 ㎡,938.22 ㎡
르호봇 프라임 서초 센터 1인실,서울특별시,서초구,서초동,,1553-1 번지,서초대로,248 번,37.49187553,127.0088203,6647,서울특별시 서초구 서초대로 248,서울특별시 서초구 서초동 1553-1,605000,월,독립오피스,1명 ~ 1명,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,Y,N,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,Y,N,N,2022-11-16,419.2 ㎡,"5,272.03 ㎡"
르호봇 프라임 서초 센터 2인실,서울특별시,서초구,서초동,,1553-1 번지,서초대로,248 번,37.49187553,127.0088203,6647,서울특별시 서초구 서초대로 248,서울특별시 서초구 서초동 1553-1,836000,월,독립오피스,1명 ~ 2명,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,Y,N,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,Y,N,N,2022-11-16,419.2 ㎡,"5,272.03 ㎡"
르호봇 프라임 서초 센터 4인실,서울특별시,서초구,서초동,,1553-1 번지,서초대로,248 번,37.49187553,127.0088203,6647,서울특별시 서초구 서초대로 248,서울특별시 서초구 서초동 1553-1,1705000,월,독립오피스,1명 ~ 4명,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,Y,N,N,2022-11-16,419.2 ㎡,"5,272.03 ㎡"
리더스벨리비즈센터 1인실 독립룸,경기도,수원시 영통구,원천동,,471 번지,중부대로448번길,97 번,37.26650542,127.0594288,16521,경기도 수원시 영통구 중부대로448번길 97,경기도 수원시 영통구 원천동 471,242000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,2022-11-16,"2,339.17 ㎡","20,126.56 ㎡"
리더스벨리비즈센터 2인실 독립룸,경기도,수원시 영통구,원천동,,471 번지,중부대로448번길,97 번,37.26650542,127.0594288,16521,경기도 수원시 영통구 중부대로448번길 97,경기도 수원시 영통구 원천동 471,330000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,2022-11-16,"2,339.17 ㎡","20,126.56 ㎡"
리더스벨리비즈센터 3인실 독립룸,경기도,수원시 영통구,원천동,,471 번지,중부대로448번길,97 번,37.26650542,127.0594288,16521,경기도 수원시 영통구 중부대로448번길 97,경기도 수원시 영통구 원천동 471,410000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,2022-11-16,"2,339.17 ㎡","20,126.56 ㎡"
리더스벨리비즈센터 4인실 독립룸,경기도,수원시 영통구,원천동,,471 번지,중부대로448번길,97 번,37.26650542,127.0594288,16521,경기도 수원시 영통구 중부대로448번길 97,경기도 수원시 영통구 원천동 471,495000,월,독립오피스,1명 ~ 5명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,2022-11-16,"2,339.17 ㎡","20,126.56 ㎡"
리더스비즈 개별실,대구광역시,달서구,이곡동,,1202-17 번지,이곡서로,36 번,35.85438239,128.5030351,42612,대구광역시 달서구 이곡서로 36,대구광역시 달서구 이곡동 1202-17,275000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,2022-11-16,366.24 ㎡,"2,161.56 ㎡"
리치앤워크 공유오피스 독립 3인실,서울특별시,금천구,가산동,,481-4 번지,가산디지털1로,219 번,37.48443487,126.8790435,8501,서울특별시 금천구 가산디지털1로 219,서울특별시 금천구 가산동 481-4,600000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,2022-11-16,- ㎡,- ㎡
마곡 H비즈니스센터 2인실,서울특별시,강서구,마곡동,,774-8 번지,마곡중앙6로,40 번,37.56013299,126.8315319,7802,서울특별시 강서구 마곡중앙6로 40,서울특별시 강서구 마곡동 774-8,600000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,2022-11-16,660.5 ㎡,"9,993.6 ㎡"
마곡 H비즈니스센터 3인실,서울특별시,강서구,마곡동,,774-8 번지,마곡중앙6로,40 번,37.56013299,126.8315319,7802,서울특별시 강서구 마곡중앙6로 40,서울특별시 강서구 마곡동 774-8,700000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,2022-11-16,660.5 ㎡,"9,993.6 ㎡"
마곡 H비즈니스센터 5인실,서울특별시,강서구,마곡동,,774-8 번지,마곡중앙6로,40 번,37.56013299,126.8315319,7802,서울특별시 강서구 마곡중앙6로 40,서울특별시 강서구 마곡동 774-8,850000,월,독립오피스,1명 ~ 5명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,2022-11-16,660.5 ㎡,"9,993.6 ㎡"
마곡 H비즈니스센터 6인실,서울특별시,강서구,마곡동,,774-8 번지,마곡중앙6로,40 번,37.56015095,126.8315523,7802,서울특별시 강서구 마곡중앙6로 40,서울특별시 강서구 마곡동 774-8,1200000,월,독립오피스,1명 ~ 6명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,2022-11-16,660.5 ㎡,"9,993.6 ㎡"
마음시 공간대여,서울특별시,광진구,중곡동,,648-14 번지,능동로37길,6 번,37.55819011,127.0795766,4919,서울특별시 광진구 능동로37길 6,서울특별시 광진구 중곡동 648-14,24000,일,독립오피스,1명 ~ 4명,08:00 ~ 22:00,08:00 ~ 22:00,휴무일,08:00 ~ 22:00,08:00 ~ 22:00,휴무일,08:00 ~ 22:00,Y,N,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,2022-11-16,344.44 ㎡,"3,679.94 ㎡"
마이오피스쇼핑몰특화소호사무실,경기도,고양시 일산동구,장항동,,856-2 번지,정발산로,31-10 번,37.65739364,126.7724041,10402,경기도 고양시 일산동구 정발산로 31-10,경기도 고양시 일산동구 장항동 856-2,297000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,2022-11-16,"1,065.56 ㎡","13,730.18 ㎡"
마인드풀 오피스,경기도,고양시 덕양구,삼송동,,295 번지,삼송로,238 번,37.65250185,126.8999505,10592,경기도 고양시 덕양구 삼송로 238,경기도 고양시 덕양구 삼송동 295,26500,일,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,2022-11-16,"6,807.64 ㎡","79,165.85 ㎡"
망포비즈스퀘어 - 1인실(기본),경기도,수원시 영통구,망포동,,543-2 번지,영통로,127 번,37.23876545,127.0558856,16687,경기도 수원시 영통구 영통로 127,경기도 수원시 영통구 망포동 543-2,275000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,645.1 ㎡,"6,402.62 ㎡"
몰입의공간 공유오피스 룸형-1인실,부산광역시,북구,화명동,,2322 번지,학사로17번길,19 번,35.22349254,129.0073165,46542,부산광역시 북구 학사로17번길 19,부산광역시 북구 화명동 2322,16500,일,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,2022-11-16,"10,059.0 ㎡","179,308.88 ㎡"
몰입의공간 공유오피스 룸형-2인실,부산광역시,북구,화명동,,2322 번지,학사로17번길,19 번,35.22349254,129.0073165,46542,부산광역시 북구 학사로17번길 19,부산광역시 북구 화명동 2322,605000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,2022-11-16,"10,059.0 ㎡","179,308.88 ㎡"
무신사 스튜디오 프라이빗 오피스,서울특별시,중구,광희동,,17-2 번지,장충단로13길,20 번,37.56864346,127.0077323,4563,서울특별시 중구 장충단로13길 20,서울특별시 중구 을지로6가 17-2,2420000,월,독립오피스,1명 ~ 4명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,2022-11-16,"3,758.81 ㎡","122,917.19 ㎡"
무한스페이스(4인)독립사무실스터디,서울특별시,서초구,서초동,,1617-3 번지,서리풀4길,8 번,37.48787394,127.0211912,6642,서울특별시 서초구 서리풀4길 8,서울특별시 서초구 서초동 1617-3,50000,일,독립오피스,1명 ~ 4명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,N,N,2022-11-16,190.61 ㎡,"1,202.59 ㎡"
무한스페이스(5인)독립사무실스터디,서울특별시,서초구,서초동,,1617-3 번지,서리풀4길,8 번,37.48787394,127.0211912,6642,서울특별시 서초구 서리풀4길 8,서울특별시 서초구 서초동 1617-3,50000,일,독립오피스,1명 ~ 5명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,N,N,2022-11-16,190.61 ㎡,"1,202.59 ㎡"
